Sdate,Cosit,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flag Text
01/01/2015 19:00,90241,60,1,West 1,1,West,0,"Run of Zeroes,Checked"
01/01/2015 19:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 19:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 19:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
01/01/2015 20:00,90241,60,1,West 1,1,West,0,"Run of Zeroes,Checked"
01/01/2015 20:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 20:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 20:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
01/01/2015 21:00,90241,60,1,West 1,1,West,0,"Run of Zeroes,Checked"
01/01/2015 21:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 21:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 21:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
01/01/2015 22:00,90241,60,1,West 1,1,West,0,"Run of Zeroes,Checked"
01/01/2015 22:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 22:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 22:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
01/01/2015 23:00,90241,60,1,West 1,1,West,0,"Run of Zeroes,Checked"
01/01/2015 23:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 23:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 23:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
02/01/2015 00:00,90241,60,1,West 1,1,West,1,Checked
02/01/2015 00:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
02/01/2015 00:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
